	     tp     	     tn     	     fp     	     fn     	 num_events 	  accuracy  	 precision  	   recall   	   fscore   	    cost    
Ventricular_Late	0.000	178224.000	0.000	0.000	0.000	1.000	-1.000	-1.000	-1.000	0.000
Ventricular_VRun	0.000	178224.000	0.000	0.000	0.000	1.000	-1.000	-1.000	-1.000	1.000
Ventricular_Triplet	0.000	178224.000	0.000	0.000	0.000	1.000	-1.000	-1.000	-1.000	2.000
Ventricular_Couplet	4.000	178216.000	4.000	0.000	4.000	1.000	0.500	1.000	0.667	3.000
Ventricular_Trigeminy	20.000	178204.000	0.000	0.000	20.000	1.000	1.000	1.000	1.000	4.000
Ventricular_Bigeminy	748.000	177200.000	12.000	264.000	1012.000	0.998	0.984	0.739	0.844	5.000
Ventricular_R_on_T	0.000	178224.000	0.000	0.000	0.000	1.000	-1.000	-1.000	-1.000	6.000
Ventricular_Interp_PVC	42.000	178166.000	0.000	16.000	58.000	1.000	1.000	0.724	0.840	7.000
Ventricular_PVC	1522.000	176100.000	108.000	494.000	2016.000	0.997	0.934	0.755	0.835	8.000
Ventricular_Signle_VE	148.000	178048.000	0.000	28.000	176.000	1.000	1.000	0.841	0.914	9.000
Atrial_Afib	79236.000	88408.000	20.000	10560.000	89796.000	0.941	1.000	0.882	0.937	10.000
Atrial_Tachycardia	776.000	177036.000	8.000	404.000	1180.000	0.998	0.990	0.658	0.790	11.000
Atrial_Bradycardia	1440.000	176388.000	36.000	360.000	1800.000	0.998	0.976	0.800	0.879	12.000
Atrial_Drop	0.000	178224.000	0.000	0.000	0.000	1.000	-1.000	-1.000	-1.000	13.000
Atrial_Late	0.000	178224.000	0.000	0.000	0.000	1.000	-1.000	-1.000	-1.000	14.000
Atrial_Run	216.000	177948.000	0.000	60.000	276.000	1.000	1.000	0.783	0.878	15.000
Atrial_Pair	720.000	177340.000	12.000	152.000	872.000	0.999	0.984	0.826	0.898	16.000
Atrial_Trigeminy	6568.000	170508.000	40.000	1108.000	7676.000	0.994	0.994	0.856	0.920	17.000
Atrial_Bigeminy	608.000	177432.000	40.000	144.000	752.000	0.999	0.938	0.809	0.869	18.000
Atrial_PAC	6338.000	170410.000	142.000	1334.000	7672.000	0.992	0.978	0.826	0.896	19.000
